"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A2021",0.506543991447514,0.512257591680886,12915,12921,10918240,10918240,162375076,151456836,1363111.524,12281351.524,0.124847184527908
"A2024",0.340178576944844,0.358374585502725,12083,78520,29635159,29635159,925350154,895714995,8061434.955,37696593.955,0.27202266588143
"A2029",0.345797912358673,0.37120268520439,10397,39722,574258,574258,403519746,402945488,3626509.392,4200767.39200002,6.31512210887793
"A2032",0.238231211721657,0.279520808305549,10956,15131,-814301,0,161952571,162766872,1464901.848,650600.84799999,-1.79896849936325
"A2033",0.325722318838891,0.365365844535756,13047,6463,6354887,6354887,82241501,75886615,682979.535,7037865.535,0.10747296293388
"A2035",0.455992480405006,0.46765222652436,10102,7205,1307880,0,71354409,70046529,630418.761,1938298.76100001,0.482015751445092
"A2057",0.336683165821363,0.353591746721364,10127,60854,60042040,60042040,602819407,542777366,4884996.294,64927037.294,0.0813596155960062
"A2067",0.521115146693928,0.535407786168814,10630,7227,5925040,5925040,75021218,69096179,621865.611,6546904.611,0.104955343930168
"A2070",0.39646608577067,0.393380617633652,10624,7306,-1666977,0,75438739,77105716,693951.444,-973025.555999994,-0.416293352577753
"A2083",0.37857243886047,0.409989682390986,12584,7029,4191728,4191728,86038008,81846280,736616.52,4928344.52,0.175730992087272
"A2097",0.30701023087842,0.346977591745617,11014,15124,14067080,14067080,162220631,148153551,1333381.959,15400461.959,0.0947874014365449
"A2098",0.353669355341811,0.386441546309884,11712,86482,55226371,55226371,990746330,935519959,8419679.631,63646050.631,0.152457593691971
"A2100",0.305140137518988,0.34451549738264,12753,8940,8645470,8645470,111538650,102893180,926038.62,9571508.62,0.107112582658896
"A2107",0.310707140579018,0.349209878023313,16190,6972,12367881,12367881,110234037,97866156,880795.404,13248676.404,0.0712163550085903
"A2120",0.33671312984828,0.367284235903298,10329,17900,7161501,7161501,179631661,172470160,1552231.44,8713732.44,0.21674666246643
"A2141",0.300171793940265,0.31232131733614,9534,14518,9499518,9499518,135607948,126108430,1134975.87,10634493.87,0.119477206106668
"A2142",0.364966637091446,0.398993089310897,13584,3190,3959770,3959770,41851577,37891806,341026.254,4300797.254,0.0861229955275182
"A2147",0.364115550812409,0.401623764692025,10939,9909,7938693,7938693,104694558,96755865,870802.785,8809495.785,0.109690951016748
"A2148",0.293518049619852,0.330941634990794,11562,7665,-666273,0,86082310,86748583,780737.247,114464.246999994,-1.17179781711099
"A2164",0.444925911572894,0.462399212052889,10833,26055,-432055,0,276064930,276496985,2488472.865,2056417.86500001,-5.75962056914052
"A2171",0.318453330756184,0.338842678090472,10504,20597,9140280,9140280,212156587,203016307,1827146.763,10967426.763,0.199900524163375
"A2187",0.260615004921347,0.317821897864888,11270,5982,-281769,0,65117708,65399476,588595.284,306827.284000002,-2.08893201168334
"A2189",0.297862084257834,0.325842351253658,9934,10687,1850837,0,103847566,101996729,917970.561,2768807.561,0.495975907656917
"A2193",0.3346740283428,0.359522576180783,10871,21946,6678426,6678426,232428361,225749935,2031749.415,8710175.41499999,0.304225788381872
"A2198",0.36109079425919,0.400902733587255,12347,16748,4948581,4948581,200639161,195690580,1761215.22,6709796.22,0.355903080095082
"A2202",0.480957186616095,0.502236302738498,11425,5820,6858847,6858847,64591074,57732227,519590.043,7378437.043,0.0757547213110305
"A2205",0.373434753063568,0.398227711864787,12010,13246,8060066,8060066,154865496,146805430,1321248.87,9381314.87,0.163925316492446
"A2207",0.424707738787915,0.440393729692987,9824,11635,4351045,4351045,111857335,107506290,967556.61,5318601.61,0.222373386163554
"A2217",0.273118467952276,0.272581546988843,11354,11613,2932569,0,128300700,125368130,1128313.17,4060883.17,0.384752812295295
"A2246",0.413758019332998,0.469407982031166,11905,4659,5323313,5323313,53556804,48233491,434101.419,5757414.419,0.0815472280138327
"A2247",0.485261023375831,0.489882229461503,12152,6890,3964507,3964507,81655953,77691446,699223.014,4663730.014,0.176370735125452
"A2251",0.380928412234175,0.398523244232312,11024,38957,35991495,35991495,420064992,384073498,3456661.482,39448155.482,0.0960410364170756
"A2266",0.321048506432185,0.344344509959401,10903,8168,3501143,3501143,86853408,83352265,750170.385,4251313.38500001,0.214264423075551
"A2272",0.354298728452187,0.38629187076436,12199,17343,9881669,9881669,206679516,196797847,1771180.623,11652849.623,0.179239015494245
"A2284",0.372671011502402,0.466269692472827,11610,5672,7744022,7744022,63833308,56089286,504803.574,8248825.574,0.0651862267436741
"A2286",0.349707459119276,0.400464893313622,14725,8016,8500550,8500550,115283833,106783283,961049.547,9461599.54700001,0.113057337113482
"A2299",0.348459079950666,0.387822675196217,11271,21382,2785743,0,235347183,232561440,2093052.96,4878795.96000001,0.751344599986434
"A2308",0.30083747132911,0.323744803922989,9000,18481,999385,0,162282851,161283467,1451551.203,2450935.20300001,1.45244345572528
"A2309",0.4356011362362,0.453577318966759,10187,23625,23957263,23957263,235896650,211939387,1907454.483,25864717.483,0.0796190484280283
"A2311",0.337372020778353,0.373436122036481,13495,11103,-2630106,0,145363414,147993520,1331941.68,-1298164.31999999,-0.506421292525855
"A2337",0.353757747941099,0.380970101277694,13322,5062,4738970,4738970,65647559,60908589,548177.301,5287147.301,0.115674355608919
"A2342",0.34938289634377,0.369566419288771,11777,119531,98966170,98966170,1376365108,1277398939,11496590.451,110462759.451,0.116166862383378
"A2366",0.416326118276871,0.424576836578705,15551,5234,7089751,7089751,78703770,71614018,644526.162,7734278.162,0.0909097035988994
"A2419",0.321253521570121,0.350601367727218,11186,47483,19016127,19016127,519001706,499985579,4499870.211,23515997.211,0.236634421457115
"A2452",0.315194055949897,0.342084736026278,13031,6682,-733063,0,85412181,86145244,775307.196,42244.1959999949,-1.05762696521308
"A2490",0.336814928177146,0.382952064185214,12824,9514,4341608,4341608,119115400,114773792,1032964.128,5374572.12800001,0.23792201599039
"A2500",0.330216416783444,0.360885828415102,11897,51367,21925202,21925202,594085394,572160192,5149441.728,27074643.728,0.234864049507961
"A2506",0.421805277424801,0.440489371943685,11894,21667,8808348,8808348,250855755,242047408,2178426.672,10986773.672,0.247313760991277
